nada-1,10pf-1,10pf-2,nada-2,39pf-1,conect-1,22pf-1,22pf-2,conect-2
20939,23172,23442,23383,19933,20649,20849,20540,19407
20754,23117,23434,23376,19979,20368,20573,20563,19359
20780,23120,23278,23274,20112,20357,20737,20551,19413
20755,23247,23275,23236,20290,20459,20781,20535,19368
20759,23225,23284,23240,19743,20399,20732,20381,19410
20795,23259,23314,23167,20012,20443,20687,20253,19274
20727,23283,23212,23285,19975,20660,20702,19567,19186
20539,23253,23133,23163,20055,20654,20732,19355,18986
20533,23360,23144,23182,20185,20379,20858,19362,19042
20608,23366,23184,23165,20193,20376,20738,19572,19030
20771,23304,23191,23164,20032,19725,20410,19588,19074
20463,23348,23077,23052,19557,19696,20413,19937,19068
20467,23356,23083,23045,18790,18978,20774,20343,19125
20380,23480,23119,22973,18594,18913,20788,20430,19143
20503,23573,23123,22974,18379,18969,20731,20352,19098
20535,23586,23118,23069,18348,19034,20699,20209,19023
20615,23659,23136,23121,18505,19076,20849,20295,19189
20686,23630,23125,23214,18938,18994,20821,20197,19171
20697,23336,22948,23319,18987,18985,20974,20238,19157
20372,23346,23068,23368,19243,19059,20955,20348,19050
20359,23387,23072,23406,19706,19259,20868,20359,19022
20091,23346,23103,23440,19720,19203,20879,20519,18889
20132,23347,23056,23475,19506,19153,20971,20530,19047
20245,23370,23117,23555,19584,19352,20940,20237,18644
20275,23328,23221,23618,19551,19620,21043,20224,18488
20317,23276,23228,23442,19193,19966,20940,20380,18499
20229,23277,23142,23479,19189,19862,20909,20378,18572
20253,23344,23081,23517,19247,19901,20922,20398,18401
20374,23339,23060,23460,19537,20036,21100,20646,18506
20212,23368,23000,23451,19669,19993,21097,20681,18504
20192,23294,22965,23395,19834,19989,21106,20689,18453
20288,23488,23005,23455,19965,19892,21094,20788,18062
20372,23665,22985,23493,20060,19657,20951,20838,18014
20604,23741,22956,23407,19892,19083,20652,20735,18042
20622,23493,22944,23365,19777,18952,20631,20606,18081
20694,23302,22837,23382,19527,18967,20767,20413,18330
20730,23304,22841,23475,18777,18839,20830,20269,18341
20833,23349,22928,23462,18243,18881,21090,20322,18232
20843,23344,22888,23327,18333,18755,20967,20335,18306
20745,23306,22893,23291,18488,18945,20747,20420,18272
20759,23291,22850,23233,18697,18974,20116,20407,18280
20817,23205,22917,23261,19016,19047,20104,20312,18408
20947,23185,22896,23233,18758,19357,20044,19937,18499
21001,23160,22926,23259,18799,19360,20055,19935,18508
21003,23155,23023,23375,18751,19389,20153,20256,18601
21017,23073,22911,23232,18549,19275,20156,20271,18571
21174,23129,22891,23108,18436,19217,20264,20496,18675
21178,23124,22901,23133,18443,19222,20308,20555,18820
20950,22760,22740,23135,18328,19289,20467,20839,18764
20911,22753,22775,23129,18775,19373,20477,20946,18774
20798,22858,22961,23198,18961,19389,20454,21067,18665
20794,22836,22935,23196,18982,19229,20407,21300,18190
20662,22856,22945,23205,19182,19213,20524,21251,18243
20592,22894,23076,23229,19182,19201,20905,21392,18640
20597,22902,23105,23365,19031,19230,20875,21232,18776
20693,22885,23047,23251,18930,19203,20871,21202,18779
20817,22891,22840,23285,18934,19337,20703,20761,18747
20977,22984,22826,23188,19187,19354,20710,20754,18506
20990,23051,22836,23189,19423,19514,20699,20669,18499
20937,23198,22751,23276,19451,19511,20823,20722,18317
20787,23204,22578,23307,19598,19498,20733,20797,18193
20779,23171,22602,23328,19527,18635,20592,20722,18363
20895,23216,22649,23314,19534,18543,20447,20873,18182
20865,23211,22708,23214,19656,18615,20452,21011,18226
20865,23230,22702,23134,20036,18803,20563,20997,18228
20885,22940,22773,23148,20052,19097,20514,21163,17993
20875,22834,22700,23204,20347,19107,20548,21228,17883
20892,22864,22706,23354,20383,19034,20342,21321,17869
20935,22856,22559,23446,20386,19100,20328,21408,17746
20918,22942,22556,23467,20429,19081,19983,21445,17740
20873,22893,22702,23406,20332,19232,20021,21326,17822
20946,22701,22630,23330,20428,19235,20316,21323,17826
20805,22575,22674,23290,20355,19299,20419,21291,18010
20955,22633,22830,23308,20381,19457,20429,21437,17903
21008,22697,22996,23392,20331,19441,20463,21412,18032
21017,22903,23046,23538,20312,19584,20392,21265,18400
21018,22727,23038,23614,20340,19665,20472,21188,18417
21016,22695,23019,23722,20346,19669,20463,20937,18235
21036,22733,23142,23726,20378,19837,20199,20929,17910
21147,22817,23134,23703,20480,19721,20160,21024,17639
21168,22854,23126,23645,20754,19594,19887,21266,17625
21274,22975,23006,23643,20820,19567,20038,21152,17579
21266,22941,23028,23638,20566,19238,19841,21171,17603
21272,22943,23063,23431,20565,19245,20049,21026,17730
21256,22768,23044,23405,20638,19449,20063,20477,17684
21238,22626,23061,23423,20375,19533,19640,20019,17661
21261,22657,23166,23558,20285,19325,19661,20022,17317
21289,22480,23110,23647,20324,19310,19778,20388,17322
21221,22486,23111,23543,19821,18379,19857,20424,17616
21297,22567,23237,23536,19829,18345,19696,20075,17657
21342,22588,23363,23550,20015,18197,19934,20089,17731
21291,22536,23518,23666,20472,18246,20132,20346,17697
21253,22530,23547,23550,20558,18569,20003,20404,17721
20909,22294,23542,23566,20524,18761,20014,20641,17813
20899,22312,23443,23679,20292,18746,20099,20681,17833
20892,22382,23495,23667,19634,18817,20230,20328,17756
20726,22485,23478,23701,19321,19001,20438,20327,17592
20735,22447,23394,23586,19291,19107,20462,20184,17589
20891,22425,23396,23576,18745,19334,20240,20448,17459
20665,22209,23468,23546,18580,19301,19918,20682,17270
20730,22203,23276,23543,18551,19394,19910,20814,17151
20729,22618,23358,23636,18770,19369,19631,20899,16940
20705,22623,23215,23586,18677,19362,19422,21179,16980
20691,22685,23152,23707,18315,19387,19391,21200,16934
20509,22631,23171,23722,18445,19279,19338,21517,17008
20479,22645,23207,23724,18568,19526,19378,21530,17111
20510,22748,23239,23707,19125,19543,19668,21570,16852
20651,22622,23267,23592,19224,19413,19652,21665,16928
20719,22668,23247,23613,19462,19346,19310,21639,16840
20797,22727,23256,23548,19399,19057,19304,21786,17037
20883,22630,23335,23528,19363,19059,19090,21688,16951
20907,22529,23446,23530,19433,18888,18977,21712,17052
20937,22559,23516,23509,19423,18755,18934,21852,17131
20827,22657,23517,23549,19015,18755,18746,22223,17227
20707,22663,23499,23328,18947,18570,18640,22290,17524
20857,22663,23540,23283,19057,18515,18545,22328,17616
20942,22590,23542,23350,19147,17645,18617,22213,17645
20966,22569,23332,23499,19320,17480,18809,22213,17795
21041,22583,23340,23293,19439,17597,18859,22206,17839
21122,22525,23274,23260,19231,17619,18930,22002,17873
21323,22567,23351,23308,19248,18065,18991,21918,17522
21366,22588,23395,23223,19630,18270,19151,21820,17507
21354,22638,23429,23135,19654,18277,19189,21887,17604
21281,22746,23484,23160,19998,17778,18939,21938,17568
21169,22917,23386,23275,20008,17855,18843,21942,17579
21261,22993,23349,23283,20046,18258,18889,21998,17267
21267,22861,23364,23335,19902,18299,19309,21852,17241
21027,22836,23407,23344,20014,18626,19416,21806,17397
20812,22693,23436,23212,20019,18567,19592,21822,17155
20798,22736,23402,23221,19871,18620,19562,21657,17152
20740,22735,23411,23180,19868,18612,19695,21358,17157
20583,22339,23367,23183,20037,18443,19688,21169,16824
20584,22370,23488,23188,20028,18748,19738,21217,16239
20674,22442,23526,23253,19990,18755,19949,21498,15772
20892,22438,23333,23231,19844,18204,20102,21545,15782
20982,22337,23276,23248,19878,18149,20089,21541,15607
21044,22426,23268,23135,20067,17964,20023,21661,15570
21052,22374,23264,23132,20327,18099,19992,21578,15625
21133,22405,23006,23120,20349,18126,19677,21571,15642
20937,22606,23014,23156,20552,18286,19687,21910,15324
20899,22615,23166,23127,20546,18417,19958,21918,15519
20921,22650,23317,23129,20614,18683,20207,22076,15627
21154,22602,23326,22934,20613,18807,20231,21860,15517
21052,22654,23382,22944,20587,18963,20270,21792,15312
21017,22783,23478,23052,20192,19405,20502,21834,14524
21035,22836,23340,23252,19869,19262,20340,22181,14727
21136,22934,23328,23298,19259,19213,20220,22193,14834
21157,22955,23368,23290,19057,19249,20145,22095,15297
21162,22953,23280,23132,19175,19173,20325,22070,15504
21170,23031,23241,23109,18530,19210,20235,21836,15479
21230,23295,23248,22992,18284,19352,20318,21733,15476
21280,23300,23243,22961,18400,19709,20164,21747,14829
21407,23402,23280,23081,18689,19799,20180,21822,14596
21385,23464,23103,23092,19046,19443,20310,21753,15009
21413,23354,23092,23053,19403,19427,20421,21386,14714
21417,23219,23123,23230,19345,19359,20245,21339,14785
21425,23179,23255,23246,19393,19419,20261,21302,14771
21197,23165,23342,23124,19551,19475,20197,21537,14906
21121,23181,23352,23119,19605,19806,20225,21719,15105
21123,23175,23247,23072,19896,19814,20282,21763,15281
21049,23158,23245,23142,19897,19877,20386,21818,15506
20941,23227,23292,23157,20016,20005,20378,21820,15524
20949,23251,23151,23197,19957,20025,20301,21500,15194
21160,23339,23216,23201,19679,20165,20134,21396,15067
21225,23357,23358,23183,19825,20179,20279,21308,15070
21258,23276,23322,23180,19894,20509,20366,21049,15456
21204,23284,23382,23060,19988,20565,20630,21067,15506
21350,23168,23263,23075,20009,20522,20613,21240,15870
21336,23175,23309,22966,20164,20588,20347,21511,15800
21381,22953,23326,22931,20358,20522,20373,21492,15860
21258,22950,23455,22910,20396,20515,20388,21524,15962
21228,22953,23455,22909,20266,20543,20424,21482,16138
21061,22933,23355,22772,20288,20618,20402,21824,16175
21088,22866,23381,22790,20558,20645,20479,21863,16219
21161,22834,23456,22694,20772,20557,20483,21844,16528
21330,22838,23508,22728,20965,20547,20211,21905,16687
21442,22881,23413,22814,21072,20583,19893,22060,16545
21508,22866,23471,22822,21064,20566,19924,22314,16533
21253,22832,23463,23030,20775,20503,19716,22299,16877
21232,22799,23256,23036,19793,20516,19712,22346,16896
21257,22794,23250,22968,19562,20454,19735,22368,16753
21291,22828,23298,22949,19242,20486,19110,22302,16855
21325,22738,23197,22961,19146,20046,19133,22394,16904
21429,22741,23187,23011,18613,20030,19067,22343,16977
21437,22610,23343,23069,18530,20185,19142,22397,16971
21595,22806,23358,23278,18591,20231,19465,22462,16536
21635,22816,23376,23285,18599,20268,19486,22521,16500
21800,22485,23453,23140,18491,20245,19570,22680,16417
21826,22464,23574,23221,18503,20227,19658,22514,16227
21679,22892,23686,23235,19046,20134,19991,22458,16354
21640,22918,23668,23300,19074,19263,19825,22497,16538
21659,22924,23673,23309,19303,19269,19825,22391,16589
21456,22895,23746,23315,19660,19289,19762,22459,16649
21237,22845,23881,23207,19666,19241,19737,22418,16578
21248,22850,23985,23191,19911,19365,20040,22423,16333
21278,22608,23979,23282,19871,19637,20067,22302,16327
21290,22591,23989,23314,19122,19720,20144,22427,16527
21493,22600,23918,23331,19126,19901,20158,22432,16597
21600,22616,23942,23419,19144,20264,20347,22222,16395
21595,22644,23949,23416,19403,20292,20333,22222,16293
21437,22510,23948,23453,19381,20386,20041,22334,16247
21548,22481,23911,23555,19304,20424,19907,22325,16306
21639,22668,23901,23587,19043,20427,19963,22216,16214
21643,22733,23901,23600,19105,20530,19996,22279,16477
21682,22729,23851,23623,19546,20439,20208,22408,16536
21780,22648,23847,23683,19650,20434,20155,22440,16474
21900,22689,23790,23755,19845,20448,19979,22341,16426
